Job ID,Title,Company,Location,Experience,Skills,Job URL
4135159945,"Software Engineer I , ITC",Nike,"Karnataka, India",1+ years,"react, node.js, python, nosql, aws, serverless, git, ci/cd, jenkins, docker, microservices, javascript, agile",https://www.linkedin.com/jobs/view/4135159945
4167281899,"Software Engineer I, ITC",Nike,"Karnataka, India",1+ years,"react, node.js, python, nosql, aws, serverless, git, ci/cd, jenkins, docker, microservices, javascript, agile",https://www.linkedin.com/jobs/view/4167281899
4167285531,"Software Engineer I, ITC",Nike,"Karnataka, India",1+ years,"react, node.js, python, nosql, aws, serverless, git, ci/cd, jenkins, docker, microservices, javascript, agile",https://www.linkedin.com/jobs/view/4167285531
4160541811,Software Engineer,Microsoft,"Bengaluru, Karnataka, India",1+ year,"azure, c, java, javascript, python",https://www.linkedin.com/jobs/view/4160541811
4136453632,"Software Engineer, Full-stack",LinkedIn,"Bengaluru, Karnataka, India",2+ years,"java, html, css, javascript, react, azure, nosql, git",https://www.linkedin.com/jobs/view/4136453632
4153117827,Software Engineer,Microsoft,"Hyderabad, Telangana, India",1+ years,"azure, machine learning, ai",https://www.linkedin.com/jobs/view/4153117827
4133605922,Software Engineer,Microsoft,"Hyderabad, Telangana, India",1+ year,"cloud computing, azure, c, java, javascript, python",https://www.linkedin.com/jobs/view/4133605922
4136916707,"Software Engineer, Google Nest",Google,"Bengaluru, Karnataka, India",1 year,"python, c, java, javascript",https://www.linkedin.com/jobs/view/4136916707
4160537987,Software Engineer,Microsoft,"Hyderabad, Telangana, India",1+ year,"azure, c, java, javascript, python",https://www.linkedin.com/jobs/view/4160537987
4169939808,Software Engineer,Microsoft,"Hyderabad, Telangana, India",1+ year,"agile, c, java, javascript",https://www.linkedin.com/jobs/view/4169939808
4170105699,Software Engineer,KPMG India,"Bengaluru, Karnataka, India",Not specified,"sql, java, html, rest, javascript",https://www.linkedin.com/jobs/view/4170105699
4173514916,Software Developer 3,Oracle,"Chennai, Tamil Nadu, India",40+ years,"oracle, java, rest, agile, scrum",https://www.linkedin.com/jobs/view/4173514916
4183847815,Software Engineer,Capgemini,"Bengaluru East, Karnataka, India",Not specified,Not specified,https://www.linkedin.com/jobs/view/4183847815
4179831442,Web Developer - 2,Groww,"Bengaluru, Karnataka, India",3+ years,"javascript, html, css, jira, jenkins",https://www.linkedin.com/jobs/view/4179831442
4182971744,Software Engineer,Capgemini,"Bengaluru East, Karnataka, India",Not specified,Not specified,https://www.linkedin.com/jobs/view/4182971744
4183856283,Software Engineer - Systems,Freshworks,"Bengaluru, Karnataka, India",1-3 years,"agile, java, c, python, microservices, devops, ci/cd, git",https://www.linkedin.com/jobs/view/4183856283
4180220504,React JS Developer,Persistent Systems,"Goa, India",8 years,"react, javascript, angular, vue.js, ci/cd",https://www.linkedin.com/jobs/view/4180220504
4161994224,SDE 1 (Software Developer),IBM,"Bengaluru, Karnataka, India",2+ years,"java, sql, aws, azure, gcp, postgresql, mysql, devops, docker, kubernetes, terraform, ci/cd",https://www.linkedin.com/jobs/view/4161994224
4184894481,SDE-1,Amazon,"Bengaluru, Karnataka, India",1+ years,Not specified,https://www.linkedin.com/jobs/view/4184894481
4179020289,Software Development Engineer,Razorpay,Greater Bengaluru Area,1+ years,"rest, php, python, django, java, c",https://www.linkedin.com/jobs/view/4179020289
4167012000,Software Engineer,Meesho,"Bengaluru, Karnataka, India",2-4 years,"java, python",https://www.linkedin.com/jobs/view/4167012000
4152249879,Software Engineer -Backend (5-7),PhonePe,"Bengaluru, Karnataka, India",5-7 years,"java, c, mysql, nosql",https://www.linkedin.com/jobs/view/4152249879
4155847038,Software Engineer,Infosys,"Bengaluru, Karnataka, India",Not specified,c,https://www.linkedin.com/jobs/view/4155847038
4156172110,SDE 1 (Backend),Licious,"Kochi, Kerala, India",1 - 3 years,"java, spring, sql, nosql, aws, kubernetes, docker",https://www.linkedin.com/jobs/view/4156172110
4175350165,Software Developer,Oracle,"Noida, Uttar Pradesh, India",40+ years,"java, microservices, docker, kubernetes, aws, azure, oracle, devops, jenkins, ci/cd, kafka",https://www.linkedin.com/jobs/view/4175350165
4149032410,Software Developer (front-end) in Noida,InstaAstro,"Noida, Uttar Pradesh, India",Not specified,react,https://www.linkedin.com/jobs/view/4149032410
4139674181,Software Engineer,Capgemini,"Bengaluru East, Karnataka, India",Not specified,Not specified,https://www.linkedin.com/jobs/view/4139674181
4165437884,Software Engineer 2,Intuit,"Bengaluru, Karnataka, India",2+ years,"java, aws, react, python, javascript, rest, soap",https://www.linkedin.com/jobs/view/4165437884
4147199386,Software Developer 2,Oracle,"Bengaluru, Karnataka, India",3+ years,"oracle, java, python, microservices, spring, kubernetes, docker",https://www.linkedin.com/jobs/view/4147199386
4139345172,Software Development Engineer,Adobe,"Noida, Uttar Pradesh, India",Not specified,"java, javascript, python, ai",https://www.linkedin.com/jobs/view/4139345172
4173375881,Software Engineer,Ikigai,"Bengaluru, Karnataka, India",Not specified,"ai, kubernetes, docker, aws, sql, terraform, jenkins, python",https://www.linkedin.com/jobs/view/4173375881
4143201595,Software Engineer (5-8yrs),PhonePe,"Bengaluru, Karnataka, India",9+ years,"java, c, mysql, nosql",https://www.linkedin.com/jobs/view/4143201595
4154753590,Software Development Engineer I - Frontend,Zeta,"Bengaluru, Karnataka, India",1-2 years,"javascript, rest",https://www.linkedin.com/jobs/view/4154753590
4178215950,Back End Developer,Tata Technologies,"Pune, Maharashtra, India",Not specified,"kubernetes, docker",https://www.linkedin.com/jobs/view/4178215950
4175345455,Software Developer,Oracle,"Hyderabad, Telangana, India",40+ years,"java, microservices, docker, kubernetes, aws, azure, oracle, devops, jenkins, ci/cd, kafka",https://www.linkedin.com/jobs/view/4175345455
4177971475,"Software Engineer -II, ITC",Nike,"Karnataka, India",2+ years,"react, angular, vue.js, devops, ci/cd, aws, ai, machine learning, rest, microservices",https://www.linkedin.com/jobs/view/4177971475
4130990125,Software Engineer II,Google,"Bengaluru, Karnataka, India",1 year,"python, c, java, javascript, android",https://www.linkedin.com/jobs/view/4130990125
4129387230,Software Engineer,Capgemini,"Bengaluru East, Karnataka, India",Not specified,Not specified,https://www.linkedin.com/jobs/view/4129387230
4181142380,Python Developer,American Express,"Bengaluru South, Karnataka, India",3+ years,"terraform, docker, kubernetes, agile",https://www.linkedin.com/jobs/view/4181142380
4181519462,Web Developer - 3,Groww,"Bengaluru, Karnataka, India",5+ years,"javascript, html, css, jira, jenkins",https://www.linkedin.com/jobs/view/4181519462
